;text
606;"washingtonpost.com - If you're an avid instant messenger, you probably know what I mean: ""Instant messaging doesn't work for me, does it work for you?"" Yet I appear to be on the way to becoming a minority, a fuddy-dud resisting the text-chat party. Instant messaging, or IM, is catching on with adults in a big way as it moves rapidly into the workplace, according to recent surveys. In fact, analysts predict IM soon will overtake e-mail as the No. 1 form of electronic communication."
607;LOS ANGELES - Gas prices nudged upward about half a penny in the last two weeks after dropping more than 20 cents since May 21, but another price spike is not expected due to a decline in crude oil prices, an industry analyst said Sunday.    The combined national average for all grades of gasoline was \$1.91, said Trilby Lundberg, who publishes the semimonthly Lundberg Survey...
608;GEORGE TOWN, Cayman Islands - Hurricane Ivan pummeled the Cayman Islands with floodwaters that swamped homes and fierce winds that ripped off roofs, then strengthened to an extremely dangerous Category 5 storm as it headed for western Cuba on Monday.    The hurricane, one of the strongest on record to hit the region, killed at least 65 people across the Caribbean before reaching the Caymans and threatens millions more people in its projected path...
609;"By ABDULLAH SHIHRI    RIYADH, Saudi Arabia (AP) -- Saudi Arabia's highest religious authority has barred the use of mobile phones with built-in cameras, blaming them for ""spreading obscenity.""    The edict, which follows a failed ban on the sale and import of the wildly popular devices, is the most sweeping attempt by any nation to prevent the voyeurism invited by the new technology.    Camera-equipped phones have caught on fast in parts of Asia, Europe and the Middle East - particularly in oil-rich Gulf countries - prompting complaints about privacy in places where people undress, ""theft"" of reading materials at book stores and newsstands, and corporate espionage by employees..."
610;"BAGHDAD, Iraq - The most feared militant group in Iraq, the movement of terror mastermind Abu Musab al-Zarqawi, declared its allegiance to Osama bin Laden on Sunday, saying it had agreed with al-Qaida over strategy and the need for unity against ""the enemies of Islam.""   The declaration, which began with a Quranic verse encouraging Muslim unity, said al-Zarqawi considered bin Laden ""the best leader for Islam's armies against all infidels and apostates.""   It said the two had been in communication eight months ago and ""viewpoints were exchanged"" before the dialogue was interrupted.   ""God soon blessed us with a resumption in communication, and the dignified brothers in al-Qaida understood the strategy of Tawhid and Jihad,"" the statement said..."
611;"Investors in the company that's trying to come off as cute as a bunny could find themselves holding a fistful of vipers if the founders of Google Inc. continue to do things like show up in Playboy magazine around the same time their company is going public. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-washingtonpost.com&lt;/B&gt;&lt;/FONT&gt;"
612;PUERTO CAIMITO, Panama - Mariano Rivera wept, sang and prayed Tuesday at the funeral for two family members who died at his house, and he later raced to catch a private jet to return to New York for Game 1 of the Yankees-Red Sox pennant series.    The star reliever broke out in tears as a choir sang hymns at the God of the Prophecy Church near his home in this fishing village 40 miles from Panama City...
613;"NEW YORK - President Bush picked apart John Kerry's record on the Iraq war and tax cuts Thursday night and summoned the nation toward victory over terrorism and economic security at home. ""Nothing will hold us back,"" he said in a Republican National Convention acceptance speech that launched his fall re-election campaign..."
614;"Patriots coach Bill Belichick believes All-Pro defensive lineman Richard Seymour has played very well this season, despite being held to four tackles and no sacks through the first two games.  quot;In our defense, and in our offense, when the opportunities come, you count on the players to make the plays, quot; Belichick said.  quot;Not everybody gets the same number ..."
615;"TODAY AUTO RACING 3 p.m. -- NASCAR Nextel Cup Sylvania 300 qualifying at N.H. International Speedway, Loudon, N.H., TNT PRO BASEBALL 7 p.m. -- Red Sox at New York Yankees, Ch. 38, WEEI (850) (on cable systems where Ch. 38 is not available, the game will air on NESN); Chicago Cubs at Cincinnati, ESPN 6 p.m. -- Eastern League finals: ..."
616;Get or Give Gmail Invites With GMailOMatic\\I heard about this last week, but when I tried to send it a couple invitations, it didn't work. It worked yesterday so I'll mention it. GmailOMatic allows people to submit Gmail invitations and request Gmail invitations.\\So if you've got a couple invites left ...
617;AP - Clearly, sticking around the major leagues was a great career move for Roger Clemens. As dominant as ever after reversing his decision to retire, the 42-year-old Rocket easily won his record seventh Cy Young Award on Tuesday after taking the Houston Astros within one win of the World Series.
618;"The nation's Roman Catholic bishops said Friday they will spend the next nine months deciding whether to make any changes in the policy they enacted at the height of the clergy sex abuse crisis that includes permanently barring guilty priests from church work.    The review was mandated in the ""Charter for the Protection of Children and Young People,"" the document the bishops adopted at an emotional June 2002 assembly in Dallas..."
619;PORT-AU-PRINCE, Haiti - Machete-wielding supporters of ousted President Jean-Bertrand Aristide are turning their wrath on Haiti's demoralized police force, beheading some of their victims in a campaign imitative of the insurgency in Iraq.    Seven of at least 18 people killed in the turmoil in Port-au-Prince have been police officers, judicial police chief Michael Lucius said Monday...
620;JERUSALEM -- From the podium of the Israeli Knesset last week, Shimon Peres, the engineer of the Oslo peace process and leader of the parliamentary opposition, lambasted Prime Minister Ariel Sharon's speech on the state of the nation. Minutes later, in a nearby conference room, he urged his Labor party colleagues not to vote against Sharon's program so as not ...
621;Webmaster World's World of Search Conference Features 70 Speakers\\The WebmasterWorld of Search Conference scheduled for November 16-18 in Las Vegas has published a final speaker roster and announced over 24 sessions with more than 70 industry-leading speakers. The line up features speakers from such companies as Google, Yahoo, Kanoodle, Ask ...
622;\\When we first met it was love at first sight!  I loved that you were so open\minded about my geeky friends who had patches that I needed.  You were a breath\of fresh air and and made my development life so simple.\\For the longest time we had a great love affair.  I remember my first anoncvs\patch I generated with your help and I was hooked.  I remember the first time\you sent me a diff against my own repository from another developer.  What a\sweet gesture!  You were so kind.\\Since then though you've started to let me down.  What happened to you?  In your\old age you've become confused when I've tried to share you with others.  You\often can't make up your mind when I try to branch and mer ...\\
623;"Big-time college athletic departments who assert that their teams' success leads to increased alumni donations and a better applicant pool have created an  quot;arms race quot; for athletic supremacy when funds could be better spent elsewhere on campus, according to a study by the Knight Foundation Commission on Intercollegiate Athletics."
624;"With just 300 meters remaining in the Bob McIntyre Bay State Cross Country Invitational Division 2 race yesterday at Franklin Park, Katharina Eidmann began doubting herself.  quot;I was surprised, quot; said Eidmann, a junior at Winchester.  quot;My plan was to have people pushing me but I kind of pulled away early. When Greta Wicklund came up on me toward the end, ..."
625;Perhaps it isn't quite as surprising as if Ford MotorCo. suddenly decided to sell the Mustang sports car brand to Hyundai. But IBM's decision to sell its PC business to China's Lenovo Group underscores the challenges that manufacturers face in the modern PC business, even for a company synonymous with the product.
626;"LONDON - Johnny Depp reckons he's no great movie pinup - he just has a ""weird job.""   Arriving for the premiere of his latest movie, ""Finding Neverland,"" at London's Leicester Square, Depp played down his movie star image as fans lining the red carpet screamed his name.   ""I wouldn't say I'm a heart throb,"" he said, as his wife, French singer and actress Vanessa Paradis, looked on..."
627;"LOUISVILLE, Kentucky (AP) -- A team of doctors from Louisville and the Netherlands say in a new medical journal article that they are ready to perform a face transplant, a procedure considered controversial by some medical ethicists.    ""There arrives a point in time when the procedure should simply be done..."
628;"WASHINGTON - In a vote with election-year consequences, the House sought to assure that God's 50-year place in the Pledge of Allegiance will be safe from federal court challenges.    The bill, approved on a 247-173 vote Thursday, would prevent federal courts, including the Supreme Court, from ruling on whether the words ""under God"" should be stricken from the pledge..."
629;"Describing the new iMac G5, Chris Taylor writes in TIME,  #147;What you get for that money is quite possibly the coolest personal computer yet created. The cool is more than merely aesthetic. Unlike a lot of previous Mac machines, on which you could almost fry an egg, the iMac G5 #146;s beautiful white surface does not get noticeably hot. Nor, at a whisper-quiet 25 decibels, does it make enough noise for most people to hear #133; #148;  Sep 07"
630;Canadian Press - N'DJAMENA, Chad (AP) - The UN High Commissioner for Refugees proposed autonomy for the troubled Darfur region of Sudan - a solution the government has resisted. But it said Friday it would be willing to discuss the position anew in an effort to end the violence that has killed 50,000 people.
631;"""What happened in Brussels today is unique in the   Western world: never has a so-called democratic regime outlawed the country's   largest political party.""  The party outlawed is for Flemish self-determination.  When Belgium's largest political party (despite being a minority, which even the largest parties usually are in parliamentary politics) cannot even seek self-determination via democratic means, aren't international organizations obligated to ask what ""self-determination"" really means in a ""liberal democracy""?"
632;AP - A rare nest of brown-capped rosy finches was discovered recently in a crack in a cliff high in the Snowy Range. Little is known about the species and only six or seven such nests have ever been found, according to David McDonald, associate professor in the University of Wyoming Department of Zoology and Physiology.
633;"WASHINGTON -- The State Department welcomed yesterday steps by China and Taiwan to ease tensions by curtailing long-planned military exercises. Taiwan canceled a major live-fire military exercise shortly after Beijing reportedly called off massive war games near Taiwan.  quot;We welcome and encourage all these steps that are being taken by Taiwan and the People's Republic of China to reduce tensions, quot; ..."
634;" quot; I admit it, most of my notes for this game considered of  quot;IY Shannon quot; and  quot;Mr. and Mrs. Dan Boxx. quot; Oh, and looking up the United States all-time record for Olympic finals played in cities called  quot;Athens... quot;. by Dan Loney. There #39;s only one story this week "
635;WASHINGTON (AP) -- Glaciers in Antarctica are thinning faster than they did in the 1990s and researchers have discovered an unexpected folded section deep beneath the ice cap, findings that may indicate the ice is less stable than had been thought.    Glaciers in West Antarctica are discharging 60 percent more ice into the sea than they are accumulating from snowfall, a research team led by Robert Thomas at NASA Goddard Space Flight Center in Wallops Island, Va., reports in Thursday's issue of the journal Science...
636;Ricky Santos amassed 216 yards of total offense and passed for one touchdown as New Hampshire defeated Atlantic 10 rival Rhode Island, 27-3, yesterday in South Kingstown, R.I., to assure its first winning season since 2000. Santos completed 9 of 15 passes for 170 yards and rushed for 46 yards on nine carries to lead the Wildcats (7-2, 4-2). The ...
637;ATHENS -- I saw a game that featured, with only the slightest expansion of our basic concepts, fast breaks, fouled in the act of shooting, sneakaways, pivotmen, turnovers, weaves, give-and-gos, lookaway passes, backward bounce passes, skip passes, a penalty shot, a backdoor play, and great shot blocking worthy of a Russell or a Roy.
638;AP - Vijay Singh is making it look easy by winning tournament after tournament, and millions upon millions of dollars, while chasing Tiger Woods' single-season money record. Singh's ability to turn bad lies into good shots helped him to an even-par 72 that kept him in the 84 Lumber Classic lead Saturday.
639;Psychologists and neuroscientists have spent several decades producing theoretical models of the mental processes and neural networks that might  be involved in the kaleidoscopic state of psychosis. Largely concerned with simulating the nuts-and-bolts of the mind and brain, these  computer models generate results that tend only to be of interest to researchers and their scientific colleagues. More recently, scientists have decided to harness the power of virtual reality, in an attempt to move beyond the confines of theory, to simulate the experience of psychosis itself.
640;Is Your Web Browser Putting You At Risk?\\It's free, it comes with Windows and it's used by approximately 94 of the Internet population. It also poses an unacceptable security risk. What am I talking about? If you guessed Internet Explorer, you're right on the money. So, is your web browser ...
641;NEW YORK - Stocks edged higher in early trading Friday as investors tried to uncouple share prices from skyrocketing oil costs, even as crude reached new highs and neared \$50 per barrel.    A barrel of light crude was quoted at \$49.33, up 63 cents, on the New York Mercantile Exchange, continuing a climb that has sent new intraday highs with every quote...
642;"MacCentral - Select members of the press on Monday received an invitation to to a special Apple event taking place at the California Theatre in San Jose, Calif. The theme of the event would appear to be musically-related and is capitalizing on Apple's recently unveiled iPod and iTunes Music Store promotion with legendary rock band U2, judging from the invitation received by MacCentral. ""Steve Jobs, Bono and The Edge invite you to attend a special event,"" reads the top of the invitation. The invitation-only event is scheduled to take place at 10AM Pacific Time on October 26, 2004."
643;MOSCOW -- Chechen security forces killed 22 separatist rebels, including the alleged organizer of the assassination of the republic's president, a top republic official said yesterday, according to news reports. Deputy Prime Minister Ramzan Kadyrov was quoted as saying the rebels were killed in an operation in the Vedeno region, about 30 miles southeast of Grozny, the Chechen capital. The ...
644;" #147;The single most effective way to avoid viruses and spyware is to simply chuck Windows altogether and buy an Apple Macintosh, #148; writes Walt Mossberg in the Wall Street Journal.  #147;There has never been a successful virus written for Mac OS X, and there is almost no spyware that targets the Mac. Plus, the Mac is invulnerable to viruses and spyware written for Windows. Not only is it more secure, but the Mac operating system is more capable, more modern and more attractive than Windows XP, and just as stable. #148; Sep 17"
645;In 2015, an array of 4400 twelve meter fully steerable paraboloid radio dishes, called the Square Kilometer Array (SKA) is scheduled to be complete and operational.    Astrobiology Magazine -- The project plans are being developed by a consortium of institutions headed up by Cornell, and funded by the National Science Foundation among others...
646;"AP - At least a dozen portable music players are angling to steal sales away from Apple Computer Inc.'s wildly popular line of iPods this holiday season. In the past month alone, five companies have unveiled their iPod challengers  #151; pocket-sized players with hard disks that can store anywhere from 1,000 to 10,000 songs."
647;With time expiring, Paul Pierce hit a fadeaway 21-footer over the outstretched left arm of Ruben Patterson, giving the Celtics a 90-88 victory over the Portland Trail Blazers last night. Pierce jumped on the scorer's table before teammates quickly lifted him back to the safety of the FleetCenter parquet. Given Pierce's condition, it was a jubilant, yet cautious, celebration.
648;SAN'A, Yemen -- A Saudi suspected of being an associate of Osama bin Laden and a Yemeni militant were sentenced to death by firing squad yesterday for the bombing of the USS Cole four years ago, the first convictions in the Al Qaeda terrorism attack that killed 17 American sailors.
649;"The crowd went crazy. The announcer screamed through a megaphone because of problems with the public address system. With 1 minute and 35 seconds left in the game, the scoreboard read Blue Hills 8, Bristol-Plymouth 8 after an apparent B-P 2-point conversion; the game appeared headed to overtime last night."
650;AP - The Georgia Bulldogs hardly were used to this sort of treatment. They limped off the field at the Georgia Dome, unable to rely on any what-ifs or might-have-beens. For the first time in coach Mark Richt's tenure, the Bulldogs knew what it felt like to be dominated by a better team.
651;WASHINGTON - The number of new applications filed last week for unemployment benefits fell sharply, offering a hopeful sign that the recovery in the job market may be gaining some steam.    The Labor Department reported Thursday that the number of new people signing up for unemployment insurance benefits dropped by a seasonally adjusted 37,000 to 335,000, the lowest level since the beginning of September...
652;"AP - European defense companies know they must unite to keep up, as the gap in military spending between the United States and its NATO allies continues to widen. But a push to consolidate Europe's fragmented shipbuilding sector  #151; a minefield of national, corporate and labor sensitivities  #151; is proving slow and difficult."
653;AP - For at least a decade, phone companies have been promising to rewire America with fiber-optic cables. Now, with a romp of regulatory victories in hand, the regional Bells say they're free to make good on that ambitious plan to bring lightning-fast Web and TV services to all the nation's homes.
654;While a terrestrial view of a galaxy might disguise the turbulent, changing mergers that fuel their formation, a famous cluster called Stephan's Quintet shows that seemingly immutable stars are always in flux.    Astrobiology Magazine -- A stunning image released by the Gemini Observatory captures the graceful interactions of a galactic ballet, on a stage some 300 million light years away, that might better be described as a contortionist's dance...
655;Several Angels offered only cliches last night when asked about the baseball season entering the home stretch. But others were more candid about their important series at Fenway Park. When asked if facing Boston at a time when it was playing its best ball of the season represented a welcome challenge, an incredulous look came across the face of Anaheim ...
656;Tom O'Brien just couldn't figure it out. The Boston College coach seemed momentarily stumped when asked to take stock of how the Eagles had reached this point of the season. With three games left, BC has a 6-2 record (2-1 Big East), is ranked No. 24 in the Associated Press Top 25 (No. 25 in the ESPN/USA Today coaches poll), ...
657;DUBAI, United Arab Emirates - A large wall in a building under construction at Dubai airport collapsed Monday, killing more than eight people and injuring many more, a contractor said.    Workers at the site said they saw up to 40 casualties being taking away, but there was no confirmation of the number of wounded...
658;WASHINGTON -- The Bush administration plans to ask for between \$80 billion and \$100 billion to fund military operations in Iraq and Afghanistan next year, rather than the \$70 billion to \$75 billion the White House privately told members of Congress before the election, according to Pentagon and White House officials.
659;LOS ANGELES - The ashes of legendary actor Marlon Brando were spread in Tahiti and Death Valley, according to a newspaper report.    A memorial service for Brando, who died of lung failure at age 80 on July 1, was held at the home of Hollywood producer Mike Medavoy and was attended by Warren Beatty, Jack Nicholson and Sean Penn, the Los Angeles Times reported in Wednesday editions...
660;LONDON - Crude oil topped the psychological milestone of \$50 per barrel Tuesday for the first time, and a Saudi Arabian oil official said the world's largest petroleum exporter would raise its production capacity by nearly 5 percent in a bid to calm prices.    Analysts said instability in the Middle East, political unrest in Nigeria, Africa's top oil exporter, and damage to U.S...
661;Ask Jeeves Introduces Yet Another Desktop Search Tool\\Ask Jeeves yesterday joined Microsoft in introducing a beta desktop search application. Ask Jeeves states that its Desktop Search makes it easy for people to find information on their computers or the Internet. Upon installation of the small (750K) application, Ask Jeeves Desktop ...
662;BAGHDAD, Iraq - Militants in Iraq freed seven foreign truck drivers Wednesday after holding them six weeks, while Muslims united behind calls for the release of two French reporters captured by a separate group demanding that France revoke a ban on Muslim head scarves in schools.    Also Wednesday, gunmen shot at a convoy carrying former Iraqi Governing Council member Ahmad Chalabi as he returned from Najaf to attend the first meeting of Iraq's 100-member National Council, which is to act as a watchdog over the interim government and help shepherd the nation to elections...
663;Lycos Europe Cans Anti-Spam Effort\\Lycos Europe attempted to get back at the leading spammers of the world through an initiative called MakeLoveNotSpam. The move was applauded by the ordinary user of the web considering more than a lakh users downloaded the screensaver from the official website. However, many ISPs and ...
664;When former Jets linebacker Mo Lewis knocked the Patriots out of the Drew Bledsoe Era and into the Tom Brady Era, it began a renaissance of Patriots football, not unlike what happened with the advent of Joe Montana in San Francisco, Troy Aikman in Dallas, and John Elway in Denver.
665;"AP - Notre Dame found a familiar way to make its problems go away  #151; beat Michigan. Using the ingredients that vaulted them to wins in coach Tyrone Willingham's first eight games two years ago, the Fighting Irish used a stingy defense, an opportunistic offense and a key special teams play to beat No. 8 Michigan 28-20 on Saturday."
666;BESLAN, Russia - Attackers wrapped in suicide-bomb belts raided a school in a region bordering Chechnya, seizing up to 400 hostages - including scores of students welcoming the new school year - and threatening to kill captives or blow up the building if it was stormed by encircling Russian troops.    Authorities established contact with the hostage-takers hours after the raid Wednesday, which officials said left at least two people dead in the latest assault in a country the defense minister said has been challenged by a declaration of terrorist war...
667;AP - The Cubs had only Monday available to play their makeup doubleheader against Florida, and as it turned out, the weather was great. But to Dusty Baker's dismay, David Weathers was pretty good, too. The journeyman right-hander, making his first start in six years, limited Chicago to two hits and one run in five innings, and the Marlins won the second game 5-2 to earn a split.
668;WEST VIRGINIA (4-1) at UCONN (4-1) When and where: Tonight, 7:30, at East Hartford TV/radio: ESPN. Last season: Did not play. Comments: This is the first meeting on the gridiron for these programs. The Huskies lead the Big East in total offense with 424.2 yards a game and are second in defense, only allowing 268 yards a game. Senior quarterback ...
669;"Windows vs Linux : Web Hosting\\The Basics of Linux  #038; Windows : Linux (and its close relation Unix) and Windows 2000 (and its close cousin Windows NT) are types of software (known as operating systems) that web servers use to do the kind of things that web servers do. You ..."
670;"Carlos Del Castillo, IT manager at Cell Signaling Technology, drove the effort to move the company to Macs. Now  #147;no one worries about the system anymore, #148; he says.  #147;They #146;re concentrating on their work, using the Mac as a tool rather than as a computer. #148; Also, check out Why Mac for Science and other new features on the Science site.\ Nov 04"
671;AP - New documents unearthed in the midst of the presidential campaign fill in some blanks but raise other questions about the sometimes mysterious and spotty story of President Bush's military service during Vietnam when he won a coveted spot in the Texas Air National Guard and avoided the war.
672;AP - The long goodbye ends for the Fab Five on Thursday when the U.S. women's soccer team plays Brazil for the Olympic title. It will be the long-anticipated chance for Mia Hamm, Julie Foudy, Joy Fawcett, Kristine Lilly and Brandi Chastain to end their time together as world champions, a bragging right they haven't been able to claim for five years.
673;"The stone ""fin"" on the new lava lobe inside the crater at Mount St. Helens seems to be starting to split. The fin, which is about 200 feet tall and 300 feet wide, is building on the new lava dome, which is about 1,600 feet in diameter and 400 feet high."
674;AOL Enhances Its Google Powered  Search Engine\\Search Engines seems to be going the browser engines way. There are few popular engines and companies are using them with value added services to make their own. And as expected Google seems to be the #1 choice for most companies out there. ...
675;SAN DIEGO -- Backup quarterbacks Doug Flutie and Philip Rivers each threw a touchdown pass and the San Diego Chargers warmed up for their first playoff game in nine seasons by beating the Kansas City Chiefs, 24-17, yesterday in what was little more than an exhibition. Having clinched the AFC West title two weeks earlier and the AFC's No. 4 ...
676;"When the Top500 list of the world's most powerful computers is published Monday, the 10,240 processor ""Columbia"" supercomputer that Silicon Graphics Inc. (SGI) recently built for NASA's (National Aeronautics and Space Administration's) Ames Research Center is expected to be the number-two system on the list. Columbia is a much-needed success for SGI, which has been struggling to reclaim customers lost during an ill-fated foray into the Windows market during the late 1990s. Since taking the reins of the company in 1999, Bob Bishop, an 18-year SGI veteran, has refocused SGI on its core technical markets, and bet the company's future on the three core technologies in its Altix line of servers: the Linux operating system, Intel Corp.'s Itanium processor architecture, and SGI's own NUMAflex system design. With NUMAflex, SGI has been able to scale Linux to unprecedented levels."
677;By LAURAN NEERGAARD    WASHINGTON (AP) -- Cats not only can catch the deadly bird flu but can spread it to other felines, Dutch researchers said in a report Thursday that raises important questions about the pets' role in outbreaks.    So far, cats have not been implicated in the spread of avian flu to people, said Dr...
678;Cisco Systems has finalized an agreement to purchase privately held BCN Systems, a provider of networking software design. Under the terms of the agreement, Cisco will pay approximately \$34 million in cash for BCN. The price could increase by as much as \$122 million if BCN meets certain development and product milestones. BCN's architecture will be incorporated across Cisco's broad routing portfolio and will support Cisco's delivery of next-generation data, voice, and video services over a converged network.
679;"By Amanda Gardner, HealthDay Reporter    HealthDayNews -- Teenagers who view sexual content on television, even if it only involves characters talking about sex, are twice as likely to start having intercourse in the ensuing year compared with peers who do not watch such content.    Sexual content on TV was also more likely to hasten adolescents' movement from one ""base"" to another, in other words, from kissing to breast fondling to genital touching and on to oral sex, new research found..."
680;The Motley Fool - In Greek mythology, Apollo was the god of the sun. But yesterday, for-profit educator Apollo Group (Nasdaq: APOL - News) more resembled another figure from Greek lore -- Icarus, the young lad who made wings of wax and feathers, flew too close to the sun, and plunged to his death when the wax melted.
681;By Amanda Gardner, HealthDay Reporter    HealthDayNews -- Health experts are trying to move the nation's battle of the bulge to an important new front: the schools.    Schools need to be more active in teaching heart-healthy behavior and they should offer more physical education and healthful meals, a new American Heart Association statement urges...
682;BAGHDAD, Iraq - An Iraqi militant group appealed Sunday to an influential Sunni Muslim organization for an edict on whether the kidnapping of foreigners who work for occupation forces is acceptable under Islam.    The appeal came as a Turkish transportation company, Renay International, announced it would withdraw from Iraq a day after Iraqi militants threatened to behead one of its employees - the latest company to meet kidnappers' demands to go...
683;BAGHDAD, Iraq - A car bomb Tuesday ripped through a busy market near a Baghdad police headquarters where Iraqis were waiting to apply for jobs on the force, and gunmen opened fire on a van carrying police home from work in Baqouba, killing at least 59 people total and wounding at least 114.    The attacks were the latest attempts by militants to wreck the building of a strong Iraqi security force, a keystone of the U.S...
684;MacCentral - Apple Computer Inc. on Thursday issued a recall for PowerBook batteries sold from January 2004 through August 2004 for use with 15-inch PowerBook G4 (Aluminum) notebook computers. The batteries, made by LG Chem, Ltd. of South Korea, could overheat, posing a fire hazard -- Apple said they have received four such reports, although no injuries have been reported.
685;"The (sort of) new IEEE 802.16 Metropolitan Area Network standard (MAN) promises to break the cable modem/DSL monopoly on the ""last mile"" of Internet connectivity to peoples' homes.    With ranges up to 30 miles and speeds up to 70 mbps it seems like a pancea.    While I suspect the actual usable speeds and distances will be considerably less, my real question is where is it?  This standard has been in the works for years."
686;WASHINGTON - Questions are being raised about the authenticity of newly unearthed memos which asserted that George W. Bush ignored a direct order from a superior officer in the Texas Air National Guard and lost his status as a pilot because he failed to meet military performance standards and undergo a required physical exam...
687;"BESLAN, Russia - A shaken President Vladimir Putin made a rare and candid admission of Russian weakness Saturday in the face of an ""all-out war"" by terrorists after more than 350 people - nearly half of them children - were killed in a hostage-taking at a southern school.    Putin went on national television to tell Russians they must mobilize against terrorism..."
688;"The Motley Fool - It's been four months to the day since I last wrote on the subject of the cell phone industry's plan to publish your unlisted cell phone number for all the world to see -- and charge you for the privilege. Fortunately, the U.S. Senate has not been sitting on its hands all this while. Yesterday, the U.S. Senate Commerce Committee approved a bill on the proposed ""E411"" cell phone directory, sending it on to the full Senate for a floor vote."
689;AP - Gunmen carrying flags of Iraq's most feared terror group surfaced in force in the central Iraqi city of Samarra on Tuesday for the first time since U.S. troops briefly entered it in a deal with tribal leaders that the Americans had portrayed as a success story in battling the insurgency.
690;Sortprice Shopping Search Engine Includes 1000 Merchants\\SortPrice.com announces reaching 1000 merchants with over 10 million product listings which ranges from small retailers to industry giants including companies such as Target, Buy.com and Office Depot. Launched in 2003, SortPrice.com was created to provide free listings for merchants and an easy to ...
691;"MacCentral - Hewlett-Packard's online store, HPshopping.com, on Friday introduced ""Apple iPod from HP,"" the company's long-awaited version of the iPod. HP is selling 20GB and 40GB versions of the iPod for US #36;299.99 and  #36;399.99 respectively, the same price as Apple. HP's Web site indicates the device will begin shipping on September 15."
692;DAMASCUS, Syria - In a hit claimed by Israeli security officials, a senior Hamas operative was killed in a car bombing Sunday outside his house in Damascus, the first such killing of a leader of the Islamic militant group in Syria.    Izz Eldine Subhi Sheik Khalil, 42, died instantly in the explosion, which wounded three bystanders...
693;WASHINGTON - The White House said seven months ago that it had released all the records on President Bush's stateside military service during the Vietnam War, yet new records are still dribbling out as Election Day approaches.    The White House on Wednesday night produced a November 1974 document bearing Bush's signature from Cambridge, Mass., where he was attending Harvard Business School, saying he had decided not to continue as a member of the military reserve...
694;The bus ride to the airport in Warwick, R.I., was a raucous one for the University of Massachusetts men's basketball team yesterday afternoon. Over and over, the team watched the highlight from Thursday night when Rashaun Freeman hit the go-ahead basket against Connecticut and then leapt into the crowd with 4.3 seconds left on the clock.
695;Kazaa Court Trial Brings File Swapping to the Judge\\Kazaa has had a bumpy ride in the last couple of years. While Kazaa is dropping down users popularity ratings (because of the high rate of bad files), it is high on the potential list of companies to sue of big music ...
696;Results of X-rays on Gary Payton's right hand revealed a non-displaced fracture in the point guard's right thumb. Payton did not play last night against the Pistons and had the top of his thumb bandaged, but the Celtics expect him to play in the season opener against the Philadelphia 76ers Wednesday night at the FleetCenter. It could be his first ...
697;KANSAS CITY, Mo. -- Strip away the great plays and the wild action and San Diego's 34-31 victory over Kansas City is reduced to a simple story: big plays. The revitalized Chargers (8-3) showed why they keep winning and the distraught Chiefs (3-8) showed why they continue to lose. San Diego made the big plays yesterday, got expert quarterbacking from ...
698;Like many of you, I spent a long time watching the election returns come in, and I saw the election eventually handed to George Bush.  I saw exit polls that did not correspond to the results in certain states.  I heard about the diebold president talking about using his machines to turn the election.  I have spent a long time over the past day checking information about the election, information from 2000, comparing data.  And after all of this, I feel I am able to post a list of some questionable data that I have seen:
699;Google Sued by Pornography Publisher Over Image Search\\Porn publisher Perfect 10 Inc. sued Google for copyright infringement last Friday, accusing Google of failing to  remove from its search results thousands of photos posted online (on non-Google sites)without permission from Perfect 10. The lawsuit, which was filed in U.S. District ...
700;WASHINGTON -- UN Secretary General Kofi Annan, fending off Republican demands for his resignation over alleged corruption, said yesterday he will expand UN support for Iraqi elections if need be. He said he was not offended that President Bush did not ask to see him during this visit to Washington.
701;"WASHINGTON -- Israel's top diplomat pledged yesterday to do ''everything that is needed quot; to ensure Palestinians can hold democratic elections in January -- including guaranteeing freedom of movement in the occupied territories -- but cautioned that the Palestinian people had to make a ''strategic decision quot; to swear off terrorism for the vote to move the Middle East peace process forward."
702;On a gloriously sunny San Francisco day last April, a friend and I paid \$150 for tickets worth less than \$80 to see the San Francisco Giants play the Milwaukee Brewers at SBC Park. Of course, like thousands of others on that chilly Monday afternoon, we weren't there so much to see the game as to get a chance to ...
703;BASEBALL Baltimore (AL): Named Jim Richardson, Mark Ralston and James Keller scouts. Cleveland (AL): Signed Ps Kenny Rayborn and Jake Robbins and OF Ernie Young to minor league contracts. Los Angeles (NL): Purchased contracts of INF Brian Myrow and OF Jason Repko from Las Vegas (PCL), Ps Franquelis Osoria, Ryan Ketchner, and Derek Thompson from Jacksonville (SL), and C Russell ...
704;BOSTON - A state judge upheld a 1913 law that prohibits out-of-state gay couples from marrying in Massachusetts, where same-sex marriage between residents has been legal since May.    The eight couples who filed the lawsuit - from Connecticut, Rhode Island, New Hampshire, Vermont, Maine and New York - sought a preliminary injunction blocking enforcement of the statute, claiming it is inherently discriminatory...
705;KINGSTON, Jamaica - Hurricane Ivan lashed Jamaica with giant waves and winds nearing 155 mph early Saturday, but as panicked residents braced for a direct hit, the storm unexpectedly wobbled and lurched west, possibly sparing the island the worst of its fury.    The change in course could be good news for hurricane-weary Florida, since Ivan may now head off into the Gulf of Mexico...
